Target Distance:	1000, Step Size: 20
1988: (x,y) = (-125.287, -114.47)
1989: (x,y) = (-105.591, -110.997)
1990: (x,y) = (-87.1807, -103.183)
1991: (x,y) = (-82.6816, -122.67)
1992: (x,y) = (-89.522, -103.876)
1993: (x,y) = (-109.519, -104.225)
1994: (x,y) = (-126.48, -114.824)
1995: (x,y) = (-126.829, -134.821)
1996: (x,y) = (-118.377, -152.947)
1997: (x,y) = (-115.248, -133.193)
1998: (x,y) = (-95.397, -135.63)
1999: (x,y) = (-78.4361, -146.229)
2000: (x,y) = (-59.2108, -151.741)
2001: (x,y) = (-78.0047, -144.901)
2002: (x,y) = (-58.4417, -140.743)
2003: (x,y) = (-58.0927, -120.746)
2004: (x,y) = (-47.7919, -137.889)
2005: (x,y) = (-44.319, -118.193)
2006: (x,y) = (-62.9906, -111.026)
2007: (x,y) = (-82.9906, -111.026)
2008: (x,y) = (-82.9906, -91.0257)
2009: (x,y) = (-81.2475, -71.1018)
2010: (x,y) = (-80.2007, -91.0744)
2011: (x,y) = (-62.8802, -101.074)
2012: (x,y) = (-74.9165, -85.1017)
2013: (x,y) = (-87.5029, -69.5588)
2014: (x,y) = (-75.1897, -85.319)
2015: (x,y) = (-59.6468, -97.9054)
2016: (x,y) = (-78.9653, -103.082)
2017: (x,y) = (-61.822, -113.383)
2018: (x,y) = (-74.4084, -128.925)
2019: (x,y) = (-94.3323, -127.182)
2020: (x,y) = (-114.332, -127.182)
2021: (x,y) = (-134.028, -123.709)
2022: (x,y) = (-117.848, -111.954)
2023: (x,y) = (-136.392, -104.462)
2024: (x,y) = (-123.536, -119.782)
2025: (x,y) = (-118.698, -139.188)
2026: (x,y) = (-129.881, -155.769)
2027: (x,y) = (-137.696, -174.179)
2028: (x,y) = (-143.543, -155.053)
2029: (x,y) = (-131.507, -139.08)
2030: (x,y) = (-140.897, -156.739)
2031: (x,y) = (-121.671, -162.252)
2032: (x,y) = (-108.031, -176.879)
2033: (x,y) = (-126.703, -184.047)
2034: (x,y) = (-130.519, -164.414)
2035: (x,y) = (-110.522, -164.763)
2036: (x,y) = (-107.739, -144.958)
2037: (x,y) = (-96.2672, -161.341)
2038: (x,y) = (-101.78, -142.115)
2039: (x,y) = (-87.3932, -156.009)
2040: (x,y) = (-86.6952, -136.021)
2041: (x,y) = (-105.606, -129.509)
2042: (x,y) = (-113.74, -111.239)
2043: (x,y) = (-126.596, -95.9177)
2044: (x,y) = (-131.095, -76.4303)
2045: (x,y) = (-118.239, -91.7512)
2046: (x,y) = (-99.9684, -99.8859)
2047: (x,y) = (-115.941, -87.8496)
2048: (x,y) = (-112.468, -68.1534)
2049: (x,y) = (-108.995, -48.4573)
2050: (x,y) = (-89.5078, -43.9583)
2051: (x,y) = (-84.3314, -63.2768)
2052: (x,y) = (-97.4526, -48.1826)
2053: (x,y) = (-111.093, -33.5555)
2054: (x,y) = (-95.5497, -20.9691)
2055: (x,y) = (-113.042, -11.2729)
2056: (x,y) = (-110.951, -31.1633)
2057: (x,y) = (-97.8303, -46.2575)
2058: (x,y) = (-105.322, -64.8012)
2059: (x,y) = (-117.909, -80.3441)
2060: (x,y) = (-100.588, -90.3441)
2061: (x,y) = (-80.6005, -91.0421)
2062: (x,y) = (-97.7439, -101.343)
2063: (x,y) = (-116.415, -94.1755)
2064: (x,y) = (-96.4642, -95.5707)
2065: (x,y) = (-112.645, -83.815)
2066: (x,y) = (-127.965, -70.9592)
2067: (x,y) = (-108.114, -68.5218)
2068: (x,y) = (-98.1145, -51.2013)
2069: (x,y) = (-116.908, -58.0417)
2070: (x,y) = (-136.86, -56.6466)
2071: (x,y) = (-138.603, -36.7227)
2072: (x,y) = (-123.06, -49.3091)
2073: (x,y) = (-138.603, -36.7227)
2074: (x,y) = (-156.579, -27.9553)
2075: (x,y) = (-140.196, -39.4268)
2076: (x,y) = (-159.106, -45.9382)
2077: (x,y) = (-177.232, -54.3905)
2078: (x,y) = (-173.759, -74.0867)
2079: (x,y) = (-187.901, -88.2288)
2080: (x,y) = (-201.794, -102.616)
2081: (x,y) = (-221.491, -99.1426)
2082: (x,y) = (-201.858, -102.959)
2083: (x,y) = (-198.042, -83.3263)
2084: (x,y) = (-211.682, -97.9534)
2085: (x,y) = (-225.322, -112.58)
2086: (x,y) = (-205.568, -109.452)
2087: (x,y) = (-216.461, -126.225)
2088: (x,y) = (-196.765, -122.752)
2089: (x,y) = (-214.741, -131.52)
2090: (x,y) = (-198.16, -142.703)
2091: (x,y) = (-206.295, -160.974)
2092: (x,y) = (-209.768, -141.278)
2093: (x,y) = (-220.66, -158.052)
2094: (x,y) = (-226.841, -177.073)
2095: (x,y) = (-225.445, -157.121)
2096: (x,y) = (-245.369, -155.378)
2097: (x,y) = (-235.98, -137.719)
2098: (x,y) = (-255.904, -135.976)
2099: (x,y) = (-263.718, -154.386)
2100: (x,y) = (-277.101, -139.523)
2101: (x,y) = (-257.25, -137.086)
2102: (x,y) = (-251.403, -156.212)
2103: (x,y) = (-246.226, -136.894)
2104: (x,y) = (-259.609, -122.031)
2105: (x,y) = (-274.472, -108.648)
2106: (x,y) = (-257.329, -118.949)
2107: (x,y) = (-238.657, -126.116)
2108: (x,y) = (-243.833, -145.435)
2109: (x,y) = (-258.927, -158.556)
2110: (x,y) = (-272.31, -173.419)
2111: (x,y) = (-290.13, -182.499)
2112: (x,y) = (-302.443, -198.259)
2113: (x,y) = (-287.581, -211.642)
2114: (x,y) = (-302.443, -225.024)
2115: (x,y) = (-283.317, -230.872)
2116: (x,y) = (-302.636, -225.695)
2117: (x,y) = (-311.088, -243.821)
2118: (x,y) = (-323.401, -228.061)
2119: (x,y) = (-331.536, -209.79)
2120: (x,y) = (-313.716, -218.87)
2121: (x,y) = (-315.111, -238.821)
2122: (x,y) = (-325.412, -255.965)
2123: (x,y) = (-344.637, -261.477)
2124: (x,y) = (-332.601, -277.45)
2125: (x,y) = (-351.395, -284.291)
2126: (x,y) = (-368.168, -295.183)
2127: (x,y) = (-385.311, -284.883)
2128: (x,y) = (-371.418, -299.269)
2129: (x,y) = (-353.442, -290.502)
2130: (x,y) = (-347.262, -309.523)
2131: (x,y) = (-328.037, -304.01)
2132: (x,y) = (-340.623, -288.467)
2133: (x,y) = (-357.944, -278.467)
2134: (x,y) = (-377.895, -279.863)
2135: (x,y) = (-397.528, -276.046)
2136: (x,y) = (-386.929, -259.085)
2137: (x,y) = (-392.106, -278.404)
2138: (x,y) = (-406.733, -292.044)
2139: (x,y) = (-423.876, -302.345)
2140: (x,y) = (-408.116, -290.031)
2141: (x,y) = (-418.417, -307.175)
2142: (x,y) = (-431.799, -292.312)
2143: (x,y) = (-446.426, -278.672)
2144: (x,y) = (-465.552, -272.824)
2145: (x,y) = (-480.873, -285.68)
2146: (x,y) = (-480.175, -265.692)
2147: (x,y) = (-460.688, -270.191)
2148: (x,y) = (-457.215, -289.888)
2149: (x,y) = (-470.071, -274.567)
2150: (x,y) = (-471.117, -254.594)
2151: (x,y) = (-471.815, -274.582)
2152: (x,y) = (-456.272, -261.995)
2153: (x,y) = (-439.692, -250.812)
2154: (x,y) = (-455.013, -237.956)
2155: (x,y) = (-456.756, -257.88)
2156: (x,y) = (-437.962, -264.72)
2157: (x,y) = (-456.506, -272.212)
2158: (x,y) = (-470.399, -257.825)
2159: (x,y) = (-473.872, -238.129)
2160: (x,y) = (-455.328, -230.637)
2161: (x,y) = (-450.49, -211.231)
2162: (x,y) = (-458.942, -229.357)
2163: (x,y) = (-441.621, -239.357)
2164: (x,y) = (-461.427, -242.141)
2165: (x,y) = (-469.879, -224.015)
2166: (x,y) = (-486.84, -234.613)
2167: (x,y) = (-467.086, -231.484)
2168: (x,y) = (-450.506, -220.301)
2169: (x,y) = (-463.888, -235.163)
2170: (x,y) = (-483.694, -237.947)
2171: (x,y) = (-491.508, -256.357)
2172: (x,y) = (-472.714, -263.197)
2173: (x,y) = (-471.319, -283.149)
2174: (x,y) = (-488.978, -273.759)
2175: (x,y) = (-508.902, -272.016)
2176: (x,y) = (-524.662, -284.329)
2177: (x,y) = (-522.572, -304.22)
2178: (x,y) = (-522.921, -284.223)
2179: (x,y) = (-510.334, -299.766)
2180: (x,y) = (-527.295, -289.167)
2181: (x,y) = (-508.274, -282.987)
2182: (x,y) = (-526.094, -273.907)
2183: (x,y) = (-545.9, -276.691)
2184: (x,y) = (-560.286, -290.584)
2185: (x,y) = (-578.83, -283.092)
2186: (x,y) = (-597.101, -291.227)
2187: (x,y) = (-615.511, -283.412)
2188: (x,y) = (-627.267, -299.592)
2189: (x,y) = (-607.267, -299.592)
2190: (x,y) = (-601.086, -318.613)
2191: (x,y) = (-611.979, -301.84)
2192: (x,y) = (-606.803, -282.521)
2193: (x,y) = (-612.65, -301.648)
2194: (x,y) = (-632.602, -300.252)
2195: (x,y) = (-627.425, -319.571)
2196: (x,y) = (-611.452, -307.535)
2197: (x,y) = (-605.272, -326.556)
2198: (x,y) = (-625.163, -328.646)
2199: (x,y) = (-606.252, -322.135)
2200: (x,y) = (-615.332, -304.315)
2201: (x,y) = (-629.959, -290.675)
2202: (x,y) = (-637.451, -309.219)
2203: (x,y) = (-632.275, -328.537)
2204: (x,y) = (-642.873, -311.576)
2205: (x,y) = (-662.569, -315.049)
2206: (x,y) = (-648.929, -329.676)
2207: (x,y) = (-668.902, -328.629)
2208: (x,y) = (-649.206, -332.102)
2209: (x,y) = (-667.877, -324.935)
2210: (x,y) = (-649.607, -316.8)
2211: (x,y) = (-630.696, -310.289)
2212: (x,y) = (-610.724, -309.242)
2213: (x,y) = (-629.745, -315.423)
2214: (x,y) = (-624.568, -296.104)
2215: (x,y) = (-644.201, -292.288)
2216: (x,y) = (-641.072, -312.042)
2217: (x,y) = (-659.744, -304.874)
2218: (x,y) = (-651.609, -323.145)
2219: (x,y) = (-666.236, -336.785)
2220: (x,y) = (-646.312, -338.528)
2221: (x,y) = (-657.496, -355.109)
2222: (x,y) = (-654.367, -335.355)
2223: (x,y) = (-662.182, -316.945)
2224: (x,y) = (-645.221, -327.544)
2225: (x,y) = (-656.405, -344.124)
2226: (x,y) = (-652.932, -363.82)
2227: (x,y) = (-639.549, -378.683)
2228: (x,y) = (-626.963, -363.14)
2229: (x,y) = (-644.106, -352.84)
2230: (x,y) = (-663.017, -346.328)
2231: (x,y) = (-643.263, -349.457)
2232: (x,y) = (-658.357, -336.336)
2233: (x,y) = (-644.717, -321.709)
2234: (x,y) = (-647.846, -301.955)
2235: (x,y) = (-646.451, -282.004)
2236: (x,y) = (-635.267, -265.423)
2237: (x,y) = (-615.343, -267.166)
2238: (x,y) = (-624.423, -249.346)
2239: (x,y) = (-623.028, -229.395)
2240: (x,y) = (-617.515, -248.62)
2241: (x,y) = (-620.988, -268.316)
2242: (x,y) = (-624.804, -248.683)
2243: (x,y) = (-641.385, -259.867)
2244: (x,y) = (-621.752, -256.051)
2245: (x,y) = (-605.78, -244.015)
2246: (x,y) = (-625.67, -246.105)
2247: (x,y) = (-642.443, -256.998)
2248: (x,y) = (-646.26, -237.366)
2249: (x,y) = (-639.092, -256.037)
2250: (x,y) = (-629.092, -273.358)
2251: (x,y) = (-615.452, -287.985)
2252: (x,y) = (-612.324, -307.739)
2253: (x,y) = (-602.023, -324.882)
2254: (x,y) = (-620.566, -332.374)
2255: (x,y) = (-609.095, -315.991)
2256: (x,y) = (-589.689, -311.153)
2257: (x,y) = (-572.916, -300.26)
2258: (x,y) = (-556.735, -288.504)
2259: (x,y) = (-544.422, -272.744)
2260: (x,y) = (-563.332, -279.255)
2261: (x,y) = (-557.152, -260.234)
2262: (x,y) = (-538.242, -253.723)
2263: (x,y) = (-555.203, -243.124)
2264: (x,y) = (-542.616, -227.581)
2265: (x,y) = (-526.644, -215.545)
2266: (x,y) = (-546.397, -218.674)
2267: (x,y) = (-526.991, -223.512)
2268: (x,y) = (-512.849, -209.37)
2269: (x,y) = (-524.605, -225.55)
2270: (x,y) = (-504.715, -223.46)
2271: (x,y) = (-498.867, -242.586)
2272: (x,y) = (-512.507, -257.213)
2273: (x,y) = (-525.89, -272.076)
2274: (x,y) = (-545.887, -271.727)
2275: (x,y) = (-554.966, -253.907)
2276: (x,y) = (-544.966, -271.227)
2277: (x,y) = (-564.599, -275.043)
2278: (x,y) = (-555.832, -293.019)
2279: (x,y) = (-541.938, -278.633)
2280: (x,y) = (-529.083, -263.312)
2281: (x,y) = (-521.915, -244.64)
2282: (x,y) = (-541.234, -239.464)
2283: (x,y) = (-559.905, -246.631)
2284: (x,y) = (-567.72, -265.041)
2285: (x,y) = (-570.849, -245.287)
2286: (x,y) = (-584.231, -230.424)
2287: (x,y) = (-565.688, -222.932)
2288: (x,y) = (-551.301, -236.826)
2289: (x,y) = (-532.629, -229.658)
2290: (x,y) = (-528.471, -210.095)
2291: (x,y) = (-528.122, -190.098)
2292: (x,y) = (-511.161, -179.5)
2293: (x,y) = (-526.704, -192.086)
2294: (x,y) = (-539.29, -207.629)
2295: (x,y) = (-537.2, -187.739)
2296: (x,y) = (-531.687, -206.964)
2297: (x,y) = (-544.808, -191.87)
2298: (x,y) = (-541.679, -211.624)
2299: (x,y) = (-546.518, -231.029)
2300: (x,y) = (-530.758, -243.343)
2301: (x,y) = (-550.454, -239.87)
2302: (x,y) = (-549.059, -259.821)
2303: (x,y) = (-567.33, -251.686)
2304: (x,y) = (-582.873, -239.1)
2305: (x,y) = (-575.705, -220.428)
2306: (x,y) = (-595.693, -219.73)
2307: (x,y) = (-599.851, -239.293)
2308: (x,y) = (-616.234, -250.765)
2309: (x,y) = (-596.602, -254.581)
2310: (x,y) = (-594.511, -234.691)
2311: (x,y) = (-614.265, -237.819)
2312: (x,y) = (-611.828, -257.67)
2313: (x,y) = (-606.315, -238.445)
2314: (x,y) = (-625.802, -242.944)
2315: (x,y) = (-619.622, -261.965)
2316: (x,y) = (-614.446, -242.647)
2317: (x,y) = (-602.974, -226.263)
2318: (x,y) = (-606.103, -246.017)
2319: (x,y) = (-619.224, -230.923)
2320: (x,y) = (-599.736, -235.422)
2321: (x,y) = (-619.724, -236.12)
2322: (x,y) = (-607.138, -251.663)
2323: (x,y) = (-624.958, -260.743)
2324: (x,y) = (-639.1, -246.601)
2325: (x,y) = (-655.874, -257.493)
2326: (x,y) = (-641.487, -243.6)
2327: (x,y) = (-661.338, -241.163)
2328: (x,y) = (-647.196, -255.305)
2329: (x,y) = (-629.22, -246.538)
2330: (x,y) = (-649.144, -244.795)
2331: (x,y) = (-630.733, -252.609)
2332: (x,y) = (-619.841, -269.383)
2333: (x,y) = (-603.868, -281.419)
2334: (x,y) = (-583.944, -283.162)
2335: (x,y) = (-594.837, -299.935)
2336: (x,y) = (-607.958, -284.841)
2337: (x,y) = (-620.544, -269.298)
2338: (x,y) = (-602.724, -260.218)
2339: (x,y) = (-584.904, -251.139)
2340: (x,y) = (-593.357, -233.012)
2341: (x,y) = (-583.967, -215.354)
2342: (x,y) = (-603.373, -210.515)
2343: (x,y) = (-623.361, -209.817)
2344: (x,y) = (-610.505, -225.138)
2345: (x,y) = (-628.776, -217.003)
2346: (x,y) = (-610.366, -209.189)
2347: (x,y) = (-624.259, -194.802)
2348: (x,y) = (-628.417, -214.365)
2349: (x,y) = (-622.237, -195.344)
2350: (x,y) = (-638.21, -183.307)
2351: (x,y) = (-639.953, -203.231)
2352: (x,y) = (-642.736, -183.426)
2353: (x,y) = (-660.229, -173.73)
2354: (x,y) = (-641.819, -181.544)
2355: (x,y) = (-640.423, -161.593)
2356: (x,y) = (-628.387, -177.566)
2357: (x,y) = (-644.77, -189.037)
2358: (x,y) = (-625.207, -193.196)
2359: (x,y) = (-644.001, -186.355)
2360: (x,y) = (-649.848, -167.229)
2361: (x,y) = (-655.025, -147.91)
2362: (x,y) = (-645.945, -130.09)
2363: (x,y) = (-643.162, -149.896)
2364: (x,y) = (-648.674, -130.67)
2365: (x,y) = (-635.819, -145.991)
2366: (x,y) = (-640.995, -165.31)
2367: (x,y) = (-630.102, -148.536)
2368: (x,y) = (-616.209, -134.15)
2369: (x,y) = (-596.984, -128.637)
2370: (x,y) = (-589.492, -110.093)
2371: (x,y) = (-597.306, -91.6832)
2372: (x,y) = (-581.546, -103.996)
2373: (x,y) = (-581.546, -83.9964)
2374: (x,y) = (-579.109, -103.847)
2375: (x,y) = (-562.726, -115.319)
2376: (x,y) = (-582.616, -113.228)
2377: (x,y) = (-601.637, -107.048)
2378: (x,y) = (-586.543, -93.9268)
2379: (x,y) = (-585.148, -113.878)
2380: (x,y) = (-603.558, -106.063)
2381: (x,y) = (-623.546, -106.761)
2382: (x,y) = (-635.582, -122.734)
2383: (x,y) = (-616.456, -128.582)
2384: (x,y) = (-597.435, -122.401)
2385: (x,y) = (-603.282, -141.527)
2386: (x,y) = (-621.258, -132.76)
2387: (x,y) = (-601.852, -127.921)
2388: (x,y) = (-599.415, -147.772)
2389: (x,y) = (-619.366, -146.377)
2390: (x,y) = (-623.524, -126.814)
2391: (x,y) = (-636.907, -141.677)
2392: (x,y) = (-640.723, -122.045)
2393: (x,y) = (-621.498, -116.532)
2394: (x,y) = (-639.908, -108.717)
2395: (x,y) = (-625.766, -94.5751)
2396: (x,y) = (-635.155, -76.9162)
2397: (x,y) = (-636.55, -96.8675)
2398: (x,y) = (-656.113, -101.026)
2399: (x,y) = (-640.353, -113.339)
2400: (x,y) = (-653.474, -128.433)
2401: (x,y) = (-647.294, -109.412)
2402: (x,y) = (-632.2, -122.533)
2403: (x,y) = (-617.813, -108.64)
2404: (x,y) = (-597.816, -108.291)
2405: (x,y) = (-584.176, -122.918)
2406: (x,y) = (-565.266, -116.407)
2407: (x,y) = (-552.41, -131.728)
2408: (x,y) = (-533.738, -124.56)
2409: (x,y) = (-531.301, -144.411)
2410: (x,y) = (-518.445, -159.732)
2411: (x,y) = (-517.05, -139.781)
2412: (x,y) = (-530.171, -124.687)
2413: (x,y) = (-534.67, -144.174)
2414: (x,y) = (-549.533, -130.791)
2415: (x,y) = (-530.739, -123.951)
2416: (x,y) = (-513.247, -133.647)
2417: (x,y) = (-513.247, -113.647)
2418: (x,y) = (-527.634, -99.7539)
2419: (x,y) = (-547.33, -103.227)
2420: (x,y) = (-550.803, -83.5308)
2421: (x,y) = (-565.19, -97.4239)
2422: (x,y) = (-569.348, -116.987)
2423: (x,y) = (-567.605, -136.911)
2424: (x,y) = (-585.581, -128.143)
2425: (x,y) = (-595.581, -110.823)
2426: (x,y) = (-576.67, -104.311)
2427: (x,y) = (-595.691, -110.492)
2428: (x,y) = (-576.373, -115.668)
2429: (x,y) = (-590.515, -101.526)
2430: (x,y) = (-601.408, -118.299)
2431: (x,y) = (-582.002, -113.461)
2432: (x,y) = (-573.55, -95.3349)
2433: (x,y) = (-580.061, -114.245)
2434: (x,y) = (-577.277, -94.4399)
2435: (x,y) = (-559.619, -103.829)
2436: (x,y) = (-556.835, -84.024)
2437: (x,y) = (-539.176, -74.6345)
2438: (x,y) = (-536.047, -94.3883)
2439: (x,y) = (-539.52, -114.084)
2440: (x,y) = (-547.655, -95.8135)
2441: (x,y) = (-533.268, -109.707)
2442: (x,y) = (-551.088, -118.787)
2443: (x,y) = (-550.39, -138.774)
2444: (x,y) = (-568.801, -130.96)
2445: (x,y) = (-551.48, -140.96)
2446: (x,y) = (-539.167, -125.199)
2447: (x,y) = (-551.753, -109.657)
2448: (x,y) = (-539.44, -125.417)
2449: (x,y) = (-520.53, -131.928)
2450: (x,y) = (-500.606, -133.671)
2451: (x,y) = (-481.48, -139.519)
2452: (x,y) = (-496.107, -125.879)
2453: (x,y) = (-482.986, -140.973)
2454: (x,y) = (-502.548, -145.131)
2455: (x,y) = (-498.049, -164.619)
2456: (x,y) = (-509.805, -180.799)
2457: (x,y) = (-501.038, -162.823)
2458: (x,y) = (-495.19, -181.949)
2459: (x,y) = (-508.311, -166.855)
2460: (x,y) = (-489.518, -173.695)
2461: (x,y) = (-473.545, -161.659)
2462: (x,y) = (-460.689, -176.98)
2463: (x,y) = (-444.108, -188.164)
2464: (x,y) = (-460.491, -176.692)
2465: (x,y) = (-475.119, -163.052)
2466: (x,y) = (-494.606, -158.553)
2467: (x,y) = (-488.095, -177.464)
2468: (x,y) = (-469.184, -183.975)
2469: (x,y) = (-488.205, -177.795)
2470: (x,y) = (-468.315, -179.885)
2471: (x,y) = (-448.561, -176.757)
2472: (x,y) = (-462.454, -162.37)
2473: (x,y) = (-461.408, -142.397)
2474: (x,y) = (-475.301, -156.784)
2475: (x,y) = (-455.45, -159.221)
2476: (x,y) = (-466.048, -142.26)
2477: (x,y) = (-478.085, -158.233)
2478: (x,y) = (-458.388, -161.706)
2479: (x,y) = (-462.547, -142.143)
2480: (x,y) = (-453.157, -124.484)
2481: (x,y) = (-467.784, -138.124)
2482: (x,y) = (-487.538, -134.995)
2483: (x,y) = (-495.353, -116.585)
2484: (x,y) = (-483.039, -132.346)
2485: (x,y) = (-502.445, -127.507)
2486: (x,y) = (-516.832, -141.4)
2487: (x,y) = (-502.205, -155.04)
2488: (x,y) = (-497.367, -135.634)
2489: (x,y) = (-517.318, -134.239)
2490: (x,y) = (-535.728, -142.054)
2491: (x,y) = (-549.621, -156.441)
2492: (x,y) = (-529.633, -157.139)
2493: (x,y) = (-538.086, -175.265)
2494: (x,y) = (-557.492, -180.103)
2495: (x,y) = (-544.636, -164.782)
2496: (x,y) = (-548.794, -145.219)
2497: (x,y) = (-528.989, -142.436)
2498: (x,y) = (-514.362, -156.076)
2499: (x,y) = (-530.122, -168.389)
2500: (x,y) = (-546.703, -157.205)
2501: (x,y) = (-527.14, -153.047)
2502: (x,y) = (-542.003, -139.664)
2503: (x,y) = (-561.321, -144.841)
2504: (x,y) = (-573.634, -160.601)
2505: (x,y) = (-580.475, -141.807)
2506: (x,y) = (-599.269, -134.967)
2507: (x,y) = (-604.445, -115.648)
2508: (x,y) = (-610.956, -134.559)
2509: (x,y) = (-592.162, -141.399)
2510: (x,y) = (-610.956, -148.239)
2511: (x,y) = (-629.366, -156.054)
2512: (x,y) = (-649.318, -154.659)
2513: (x,y) = (-629.912, -149.82)
2514: (x,y) = (-626.439, -130.124)
2515: (x,y) = (-632.619, -111.103)
2516: (x,y) = (-646.002, -96.2403)
2517: (x,y) = (-641.163, -76.8343)
2518: (x,y) = (-659.289, -68.382)
2519: (x,y) = (-673.917, -54.742)
2520: (x,y) = (-676.007, -74.6324)
2521: (x,y) = (-672.878, -54.8787)
2522: (x,y) = (-686.772, -40.4919)
2523: (x,y) = (-669.279, -30.7957)
2524: (x,y) = (-688.073, -37.6361)
2525: (x,y) = (-701.966, -23.2493)
2526: (x,y) = (-711.046, -41.0694)
2527: (x,y) = (-730.936, -43.16)
2528: (x,y) = (-715.616, -30.3042)
2529: (x,y) = (-735.312, -26.8313)
2530: (x,y) = (-721.17, -40.9734)
2531: (x,y) = (-704.209, -51.5718)
2532: (x,y) = (-711.701, -70.1155)
2533: (x,y) = (-719.515, -51.7054)
2534: (x,y) = (-710.748, -33.7295)
2535: (x,y) = (-713.531, -13.9241)
2536: (x,y) = (-695.121, -21.7388)
2537: (x,y) = (-714.142, -15.5584)
2538: (x,y) = (-730.115, -27.5947)
2539: (x,y) = (-724.268, -46.7208)
2540: (x,y) = (-708.947, -59.5766)
2541: (x,y) = (-715.458, -40.6662)
2542: (x,y) = (-707.323, -22.3953)
2543: (x,y) = (-691.781, -9.80888)
2544: (x,y) = (-682.084, -27.3013)
2545: (x,y) = (-662.133, -28.6964)
2546: (x,y) = (-671.213, -46.5165)
2547: (x,y) = (-678.705, -27.9729)
2548: (x,y) = (-697.726, -21.7925)
2549: (x,y) = (-705.861, -3.52161)
2550: (x,y) = (-685.864, -3.87066)
2551: (x,y) = (-667.738, -12.323)
2552: (x,y) = (-656.554, 4.25773)
2553: (x,y) = (-653.77, 24.0631)
2554: (x,y) = (-663.77, 41.3836)
2555: (x,y) = (-655.636, 59.6545)
2556: (x,y) = (-635.639, 60.0036)
2557: (x,y) = (-617.229, 52.1889)
2558: (x,y) = (-606.045, 35.6082)
2559: (x,y) = (-588.552, 45.3044)
2560: (x,y) = (-605.133, 34.1205)
2561: (x,y) = (-623.677, 41.6126)
2562: (x,y) = (-604.189, 37.1136)
2563: (x,y) = (-584.266, 35.3705)
2564: (x,y) = (-586.703, 15.5196)
2565: (x,y) = (-586.354, 35.5165)
2566: (x,y) = (-584.263, 55.407)
2567: (x,y) = (-600.444, 67.1627)
2568: (x,y) = (-615.071, 80.8027)
2569: (x,y) = (-597.095, 89.5701)
2570: (x,y) = (-602.608, 70.3448)
2571: (x,y) = (-614.079, 86.7279)
2572: (x,y) = (-605.312, 104.704)
2573: (x,y) = (-614.392, 86.8836)
2574: (x,y) = (-615.09, 66.8958)
2575: (x,y) = (-597.431, 76.2852)
2576: (x,y) = (-617.127, 72.8123)
2577: (x,y) = (-613.998, 92.5661)
2578: (x,y) = (-626.854, 107.887)
2579: (x,y) = (-646.659, 110.67)
2580: (x,y) = (-665.069, 118.485)
2581: (x,y) = (-685.057, 117.787)
2582: (x,y) = (-665.084, 116.74)
2583: (x,y) = (-674.781, 134.233)
2584: (x,y) = (-670.964, 114.6)
2585: (x,y) = (-684.086, 129.694)
2586: (x,y) = (-700.266, 117.939)
2587: (x,y) = (-687.41, 133.26)
2588: (x,y) = (-707.398, 133.958)
2589: (x,y) = (-727.152, 130.829)
2590: (x,y) = (-721.304, 149.955)
2591: (x,y) = (-703.645, 159.344)
2592: (x,y) = (-705.389, 139.42)
2593: (x,y) = (-713.841, 121.294)
2594: (x,y) = (-720.021, 102.273)
2595: (x,y) = (-715.522, 82.7858)
2596: (x,y) = (-717.613, 102.676)
2597: (x,y) = (-723.793, 121.697)
2598: (x,y) = (-703.942, 124.135)
2599: (x,y) = (-717.325, 138.998)
2600: (x,y) = (-734.817, 148.694)
2601: (x,y) = (-754.805, 147.996)
2602: (x,y) = (-774.802, 147.647)
2603: (x,y) = (-794.775, 148.694)
2604: (x,y) = (-800.955, 129.672)
2605: (x,y) = (-820.879, 131.415)
2606: (x,y) = (-829.014, 113.145)
2607: (x,y) = (-825.541, 93.4484)
2608: (x,y) = (-822.757, 113.254)
2609: (x,y) = (-840.883, 121.706)
2610: (x,y) = (-826.02, 108.324)
2611: (x,y) = (-835.717, 90.8312)
2612: (x,y) = (-855.704, 90.1332)
2613: (x,y) = (-836.298, 85.2947)
2614: (x,y) = (-849.42, 70.2005)
2615: (x,y) = (-865.6, 58.4448)
2616: (x,y) = (-864.205, 78.3961)
2617: (x,y) = (-883.523, 83.5725)
2618: (x,y) = (-903.086, 87.7307)
2619: (x,y) = (-893.086, 70.4102)
2620: (x,y) = (-876.506, 81.5941)
2621: (x,y) = (-867.116, 63.9351)
2622: (x,y) = (-886.749, 60.1189)
2623: (x,y) = (-867.623, 54.2715)
2624: (x,y) = (-856.439, 37.6908)
2625: (x,y) = (-845.84, 20.7298)
2626: (x,y) = (-843.057, 0.924435)
2627: (x,y) = (-824.786, 9.05917)
2628: (x,y) = (-805.299, 4.56015)
2629: (x,y) = (-818.42, 19.6543)
2630: (x,y) = (-838.052, 15.8382)
2631: (x,y) = (-827.752, -1.30519)
2632: (x,y) = (-813.609, -15.4473)
2633: (x,y) = (-794.291, -10.2709)
2634: (x,y) = (-783.398, -27.0444)
2635: (x,y) = (-803.203, -24.2609)
2636: (x,y) = (-819.977, -13.3681)
2637: (x,y) = (-834.604, -27.0081)
2638: (x,y) = (-815.379, -21.4953)
2639: (x,y) = (-805.379, -38.8158)
2640: (x,y) = (-785.528, -36.3785)
2641: (x,y) = (-791.708, -17.3573)
2642: (x,y) = (-771.903, -14.5739)
2643: (x,y) = (-791.39, -10.0748)
2644: (x,y) = (-794.863, -29.771)
